Country,iso_country,meta_link
Malawi,MWI,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/d83a3bad-b72a-4e4e-9be9-93b4c654ac0f/download/mwi_general_2020_geotiff.zip
Malaysia,MYS,https://data.humdata.org/dataset/f165a732-7125-4321-baad-1b7005ed93d0/resource/e8e63524-9f06-486a-afd8-cbf752073d08/download/population_mys_2018-10-01_geotiff.zip
Maldives,MDV,https://data.humdata.org/dataset/292cc362-edac-4f7a-8598-1fd062d86ef0/resource/b0375504-bb68-4f47-a1d6-905f88156164/download/mdv_population_2020_geotiff.zip
Mali,MLI,https://data.humdata.org/dataset/5b502ed7-85d6-429d-8778-53848f31ece7/resource/a4a92579-f03f-4d00-ba18-576e2bd02218/download/population_mli_2018-10-01.zip
Malta,MLT,https://data.humdata.org/dataset/d14c4c1e-b105-46a9-93c6-e7fa56e92ee6/resource/7c9f62cc-6891-4c53-b030-99b607576f2f/download/population_mlt_2019-07-01_geotiff.zip
Marshall Islands,MHL,https://data.humdata.org/dataset/c7673756-c2ea-4747-a3b3-18bc50dbdb34/resource/2bd6498a-cd7e-495b-a1a1-3a482efeb367/download/population_mhl_2018-10-01_geotiff.zip
Martinique,MTQ,no file
Mauritania,MRT,https://data.humdata.org/dataset/1e5a461c-42c5-407e-86c9-370cd4a802f1/resource/0f121bf4-06f2-4f48-be92-a4d9dd841b97/download/population_mrt_2018-10-01.zip
Mauritius,MUS,https://data.humdata.org/dataset/41c58f31-f83a-4010-a2c2-5a816abe9ccb/resource/7fced940-3a90-4541-936f-81d175b8da29/download/population_mus_2018-10-01.zip
Mayotte,MYT,https://data.humdata.org/dataset/3c1e01a8-17bd-4b22-96d2-3057eb54c1e6/resource/24a6ae66-fd63-49b5-86da-e329fd853901/download/population_myt_2019-07-01_geotiff.zip
Mexico,MEX,https://data.humdata.org/dataset/66ef8eab-b09e-4092-8d0f-2a9bd0727bdd/resource/003a8bf3-f618-4bba-953e-144731593473/download/population_mex_2018-10-01.zip
Micronesia (Federated States Of),FSM,https://data.humdata.org/dataset/b2fb60af-4354-4897-9791-efc9318373dd/resource/b287fb72-583e-49f6-8813-c76a79027ac6/download/fsm_general_2020_geotiff.zip
Moldova (Republic Of),MDA,no file
Monaco,MCO,https://data.humdata.org/dataset/a0342d5c-0f08-4759-b488-4f1989a350d6/resource/b897b8d3-d1c6-4a62-a540-dfadb85be5e6/download/population_mco_2019-07-01_geotiff.zip
Mongolia,MNG,https://data.humdata.org/dataset/f86169e7-637d-4168-ba02-0483206e035b/resource/d543b6df-7e68-4c5a-a5c7-455452464424/download/population_mng_2018-10-01_geotiff.zip
Montenegro,MNE,no file
Montserrat,MSR,https://data.humdata.org/dataset/3ba0a509-4186-4ac1-8bb9-2040e8bf2692/resource/d767b6ce-cfc7-4811-8895-02ffa99139f5/download/population_msr_2018-10-01.zip
Morocco,MAR,no file
Mozambique,MOZ,https://data.humdata.org/dataset/fa47f9e0-ee19-4081-b325-f4672cada57d/resource/8debf6d1-970f-4c05-b075-e256e52b14b9/download/population_moz_2019-07-01_geotiff.zip
Myanmar,MMR,no file
Namibia,NAM,no file
Nauru,NRU,https://data.humdata.org/dataset/ecb31702-827b-4a93-bd6e-149753df2349/resource/03cd9363-13eb-422c-bf72-4bc3504b6288/download/population_nru_2018-10-01_geotiff.zip
Nepal,NPL,https://data.humdata.org/dataset/f8d1b3cf-fd3e-4be1-aadb-025466650b4a/resource/96f5afac-b88a-41ab-a388-f0e5bd924f89/download/population_npl_2018-10-01_geotiff.zip
