country_name,iso_code,url
Trinidad and Tobago,TTO,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Trinidad%20and%20Tobago.zip
Tunisia,TUN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Tunisia.zip
Turkey,TUR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Turkey.zip
Turkmenistan,TKM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Turkmenistan.zip
Turks and Caicos Islands,TCA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Turks%20and%20Caicos%20Islands.zip
US Virgin Islands,VIR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/US%20Virgin%20Islands.zip
Uganda,UGA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Uganda.zip
Ukraine,UKR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ukraine.zip
United Arab Emirates,ARE,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/United%20Arab%20Emirates.zip
United Kingdom,GBR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/United%20Kingdom.zip
Uruguay,URY,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Uruguay.zip
Uzbekistan,UZB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Uzbekistan.zip
Holy See,VAT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Vatican%20City.zip
Venezuela,VEM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Venezuela.zip
Vietnam,VNM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Vietnam.zip
Zambia,ZMB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Zambia.zip
Zimbabwe,ZWE,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Zimbabwe.zip
Île Saint-Martin,MAF,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/%C3%8Ele%20Saint-Martin.zip
